DefendantID,BondPowerNumber,PrintDate,LastPaymentDate,TotalBilled,TotalReceived,AccountBalance,BondBalance,CustomersLastName,CustomersFirstName,CustomersSSN,CustomersAddress1,CustomersCity,CustomersState,CustomersZIP,CustomersDOB,CustomersPhone,CustomersEMail,CustomerCompleteAddress,CosignersLastName,CosignersFirstName,CosignersSSN,CosignersAddress1,CosignersCity,CosignersState,CosignersZIP,CosignersCompleteAddress,CosignersDOB,CosignersPhone,CosignersEmail,PlanAmount,Frequency,PaymentDueDate,NextPaymentDueAmount,LastPaymentAmount,BondDate,EmployerName,Occupation,EmployerAddress,EmployerCity,EmployerStateID,EmployerZip,EmployerPhone,LengthOfEmployment,OwnerName,InsurerName,Total_Premium,Total_AR,Relationship,BondAmount,FullName
2700011,FCS735-3592974,07/16/2024,07/13/2014,1800,844,956,956,Garcia,James,854-52-7745,4165 Sunset Blvd,Philadelphia,PA,19101,09/13/1959,(591) 239-8711,james.garcia11@mail.com,HOME 4165 Sunset Blvd Philadelphia PA 19101,Anderson,Sandra,458-49-4728,3752 Main St,El Paso,TX,79901.0,HOME 3752 Main St El Paso TX 79901,04/29/1957,(608) 536-5564,sandra.anderson22@example.com,300,Bi-Weekly,2024-06-22,300,260,05/13/2020,Main St Manufacturing,Receptionist,552 Maple Ave,Dallas,TX,75201,(382) 794-5349,1 years,UNITED LEGAL GROUP 3RD PARTY COLL,National Bonding,1500,707,Co-signer,100000,James Garcia
2700012,FCS720-9580255,03/14/2024,07/11/2019,12000,3114,8886,8886,Johnson,William,825-65-1027,8618 2nd St,El Paso,TX,79901,09/05/1967,(572) 641-2146,william.johnson12@testmail.com,HOME 8618 2nd St El Paso TX 79901,,,,,,,,,,,,150,Weekly,2022-07-25,150,129,05/08/2019,Global Services LLC,Receptionist,6692 Hillcrest Rd,Seattle,WA,98101,(330) 396-7888,12 years,OWNER NAME LLC,National Bonding,1800,616,Sibling,150000,William Johnson
2700013,FCS953-1006810,09/23/2024,04/27/2017,2000,880,1120,1120,Jackson,Betty,721-93-6279,7718 Walnut St,Charlotte,NC,28201,03/04/1969,(723) 684-3780,betty.jackson13@example.com,HOME 7718 Walnut St Charlotte NC 28201,Lee,Nancy,734-52-2530,3948 Hillcrest Rd,San Diego,CA,92101.0,HOME 3948 Hillcrest Rd San Diego CA 92101,11/12/1957,(350) 225-1757,nancy.lee26@mail.com,500,Weekly,2025-08-23,500,393,09/12/2016,Global Services LLC,Sales Associate,9531 Washington St,Nashville,TN,37201,(913) 593-9099,12 years,OWNER NAME LLC,ABC Insurance Co.,500,457,Parent,100000,Betty Jackson
2700014,FCS324-3950888,10/29/2025,07/03/2022,6000,411,5589,5589,Davis,Sarah,224-68-3184,7712 Court St,Seattle,WA,98101,06/20/1978,(973) 653-9270,sarah.davis14@dummyemail.com,HOME 7712 Court St Seattle WA 98101,,,,,,,,,,,,500,Monthly,2025-01-18,500,441,03/16/2021,Global Services LLC,Software Engineer,4150 Sunset Blvd,Oklahoma City,OK,73101,(996) 733-8939,20 years,OWNER NAME LLC,United Surety,1500,158,Employer,75000,Sarah Davis
2700015,FCS378-6634586,10/09/2024,12/31/2022,1500,283,1217,1217,Davis,Robert,492-98-3503,3605 Pine Ave,Columbus,OH,43085,07/27/1986,(538) 755-8633,robert.davis15@dummyemail.com,HOME 3605 Pine Ave Columbus OH 43085,Wilson,Anthony,498-84-1320,9532 Birch St,San Francisco,CA,94101.0,HOME 9532 Birch St San Francisco CA 94101,07/12/1940,(560) 505-7389,anthony.wilson30@dummyemail.com,250,Bi-Weekly,2022-02-09,250,69,10/08/2020,Global Services LLC,Retail Clerk,6471 Ridgeway Dr,El Paso,TX,79901,(895) 614-3704,14 years,OWNER NAME LLC,National Bonding,1800,55,Sibling,150000,Robert Davis
2700016,FCS677-1454696,02/10/2024,04/20/2025,4500,1111,3389,3389,Anderson,Margaret,286-16-5262,6311 Ridgeway Dr,San Antonio,TX,78201,10/17/1990,(534) 545-7211,margaret.anderson16@testmail.com,HOME 6311 Ridgeway Dr San Antonio TX 78201,,,,,,,,,,,,400,Bi-Weekly,2025-07-23,400,41,02/26/2021,St. Francis Sr. Residence (NLE),Plumber,953 Forest Ave,San Diego,CA,92101,(865) 270-1659,0 years,OWNER NAME LLC,ABC Insurance Co.,500,318,Sibling,75000,Margaret Anderson
2700017,FCS229-8945036,10/02/2025,06/14/2013,12000,3571,8429,8429,Thompson,Joseph,362-57-3749,1976 Elm St,San Jose,CA,95101,09/13/1959,(792) 226-6111,joseph.thompson17@emailtest.org,HOME 1976 Elm St San Jose CA 95101,,,,,,,,,,,,400,Bi-Weekly,2024-11-20,400,101,09/25/2016,Main St Manufacturing,Construction Worker,1769 Hillcrest Rd,El Paso,TX,79901,(814) 323-1672,11 years,UNITED LEGAL GROUP,United Surety,500,259,Co-signer,50000,Joseph Thompson
2700018,FCS969-8047416,04/01/2025,04/02/2013,4500,2967,1533,1533,Lewis,Christopher,570-29-8135,2985 Court St,Boston,MA,2101,03/26/1974,(830) 751-8921,christopher.lewis18@dummyemail.com,HOME 2985 Court St Boston MA 02101,,,,,,,,,,,,300,Bi-Weekly,2025-08-27,300,125,03/13/2025,St. Francis Sr. Residence (NLE),Software Engineer,7485 Lakeview Dr,Oklahoma City,OK,73101,(675) 783-7209,10 years,UNITED LEGAL GROUP 3RD PARTY COLL,Liberty Bonds Co.,1200,372,Mother,75000,Christopher Lewis
2700019,FCS463-5334434,10/30/2024,02/26/2017,12000,11488,512,512,Rodriguez,Mark,669-11-9464,3230 Pine Ave,San Diego,CA,92101,06/18/1986,(700) 768-4937,mark.rodriguez19@dummyemail.com,HOME 3230 Pine Ave San Diego CA 92101,,,,,,,,,,,,500,Bi-Weekly,2025-04-28,500,8,12/04/2016,Acme Corp,Construction Worker,6725 Lakeview Dr,San Jose,CA,95101,(879) 795-7046,15 years,PRIMARY OWNER INC,Liberty Bonds Co.,1800,677,Co-signer,100000,Mark Rodriguez
2700020,FCS377-6144280,07/31/2024,01/21/2016,1500,1477,23,23,Hernandez,Michael,222-78-4033,3238 Washington St,Detroit,MI,48201,06/10/1993,(483) 941-9595,michael.hernandez20@emailtest.org,HOME 3238 Washington St Detroit MI 48201,Clark,Patricia,298-47-4727,6012 Elm St,San Jose,CA,95101.0,HOME 6012 Elm St San Jose CA 95101,04/08/1941,(925) 746-3073,patricia.clark40@testmail.com,100,Monthly,2023-12-25,100,37,09/14/2023,United Legal Group,Administrative Assistant,1780 Main St,Denver,CO,80014,(491) 680-8843,14 years,PRIMARY OWNER INC,ABC Insurance Co.,500,129,Mother,50000,Michael Hernandez
2700021,FCS941-2096280,12/31/2024,11/30/2021,1500,1181,319,319,Perez,Christopher,154-29-3444,9321 Hillcrest Rd,Chicago,IL,60601,04/07/1972,(321) 771-7818,christopher.perez21@emailtest.org,HOME 9321 Hillcrest Rd Chicago IL 60601,,,,,,,,,,,,250,Weekly,2023-01-05,250,115,11/05/2020,Acme Corp,Waiter,7125 Hillcrest Rd,Denver,CO,80014,(835) 261-2625,6 years,OWNER NAME LLC,United Surety,500,80,Friend,75000,Christopher Perez
2700022,FCS665-2259379,04/25/2024,12/11/2010,4500,3690,810,810,Martin,Daniel,581-47-1534,3892 Hillcrest Rd,Nashville,TN,37201,05/14/1975,(919) 664-2166,daniel.martin22@mail.com,HOME 3892 Hillcrest Rd Nashville TN 37201,,,,,,,,,,,,250,Bi-Weekly,2021-07-10,250,139,05/27/2018,United Legal Group,Software Engineer,2430 Pine Ave,Los Angeles,CA,90001,(369) 514-5728,14 years,UNITED LEGAL GROUP 3RD PARTY COLL,Liberty Bonds Co.,1200,824,Employer,150000,Daniel Martin
2700023,FCS652-9284509,02/07/2025,09/08/2012,12000,653,11347,11347,Wilson,Mark,852-51-5102,523 Pine Ave,San Diego,CA,92101,11/11/1951,(983) 888-5415,mark.wilson23@emailtest.org,HOME 523 Pine Ave San Diego CA 92101,Garcia,Matthew,581-76-8245,4657 Elm St,Denver,CO,80014.0,HOME 4657 Elm St Denver CO 80014,02/08/1979,(850) 703-2494,matthew.garcia46@dummyemail.com,350,Bi-Weekly,2022-09-30,350,164,05/25/2023,St. Francis Sr. Residence (NLE),Manager,5503 Spruce St,Nashville,TN,37201,(707) 495-7561,17 years,UNITED LEGAL GROUP 3RD PARTY COLL,Liberty Bonds Co.,500,161,Employer,90000,Mark Wilson
2700024,FCS218-7780932,04/26/2025,11/29/2010,9000,7569,1431,1431,Johnson,Susan,292-76-6927,8267 Walnut St,Oklahoma City,OK,73101,08/19/1954,(408) 473-9998,susan.johnson24@mail.com,HOME 8267 Walnut St Oklahoma City OK 73101,,,,,,,,,,,,500,Weekly,2023-08-06,500,62,03/16/2016,Main St Manufacturing,Construction Worker,2694 Hillcrest Rd,Seattle,WA,98101,(214) 765-7684,2 years,OWNER NAME LLC,"Financial Casualty & Surety, Inc.",1500,240,Sibling,100000,Susan Johnson
2700025,FCS833-5896624,04/21/2025,01/06/2017,4500,3952,548,548,Davis,Jessica,567-80-3369,6384 Washington St,Washington,DC,20001,08/07/1995,(964) 339-2143,jessica.davis25@testmail.com,HOME 6384 Washington St Washington DC 20001,,,,,,,,,,,,400,Bi-Weekly,2025-04-18,400,259,11/17/2018,St. Francis Sr. Residence (NLE),Accountant,4991 3rd St,Denver,CO,80014,(875) 701-3434,14 years,UNITED LEGAL GROUP,United Surety,1200,1130,Father,100000,Jessica Davis
2700026,FCS566-6398528,05/28/2024,03/29/2016,12000,6274,5726,5726,Ramirez,Linda,894-62-1715,5313 Cherry Ln,Nashville,TN,37201,03/15/1984,(595) 879-3492,linda.ramirez26@dummyemail.com,HOME 5313 Cherry Ln Nashville TN 37201,,,,,,,,,,,,200,Weekly,2024-03-09,200,84,08/20/2025,St. Francis Sr. Residence (NLE),Warehouse Worker,1733 Court St,Charlotte,NC,28201,(215) 939-3361,13 years,OWNER NAME LLC,"Financial Casualty & Surety, Inc.",1500,542,Co-signer,150000,Linda Ramirez
2700027,FCS809-7668663,09/12/2025,09/07/2012,3000,2762,238,238,Moore,Margaret,489-50-8994,8964 Oak St,Washington,DC,20001,02/21/1956,(440) 846-5708,margaret.moore27@mail.com,HOME 8964 Oak St Washington DC 20001,,,,,,,,,,,,400,Monthly,2025-02-21,400,324,10/11/2023,St. Francis Sr. Residence (NLE),Warehouse Worker,2825 Hillcrest Rd,New York,NY,10001,(247) 532-1919,9 years,PRIMARY OWNER INC,United Surety,1500,298,Friend,150000,Margaret Moore
2700028,FCS521-4020853,05/09/2024,10/24/2014,1500,1248,252,252,Gonzalez,Margaret,734-97-4945,8253 3rd St,Phoenix,AZ,85001,10/31/1970,(672) 853-5161,margaret.gonzalez28@dummyemail.com,HOME 8253 3rd St Phoenix AZ 85001,Lewis,James,576-46-9955,2688 Pine Ave,Charlotte,NC,28201.0,HOME 2688 Pine Ave Charlotte NC 28201,01/01/1971,(801) 506-7951,james.lewis56@testmail.com,500,Bi-Weekly,2021-12-29,500,196,06/14/2025,Global Services LLC,Teacher,3986 Birch St,Denver,CO,80014,(567) 788-5847,9 years,UNITED LEGAL GROUP 3RD PARTY COLL,Liberty Bonds Co.,1200,16,Sister,50000,Margaret Gonzalez
2700029,FCS720-9333700,09/05/2024,01/18/2016,12000,5772,6228,6228,Lee,Linda,294-89-5106,2340 Maple Ave,Boston,MA,2101,07/15/1953,(516) 651-1546,linda.lee29@emailtest.org,HOME 2340 Maple Ave Boston MA 02101,,,,,,,,,,,,200,Monthly,2022-07-14,200,83,04/06/2024,Global Services LLC,Manager,3389 Cedar Ln,Seattle,WA,98101,(574) 743-9221,8 years,OWNER NAME LLC,United Surety,1500,604,Co-signer,50000,Linda Lee
2700030,FCS579-2263313,04/09/2024,12/12/2015,4500,2996,1504,1504,Sanchez,John,504-11-5332,8891 Maple Ave,Charlotte,NC,28201,01/25/1983,(888) 966-5295,john.sanchez30@emailtest.org,HOME 8891 Maple Ave Charlotte NC 28201,,,,,,,,,,,,350,Monthly,2024-08-30,350,119,03/03/2021,St. Francis Sr. Residence (NLE),Dietary Aide,9298 Ridgeway Dr,Washington,DC,20001,(426) 863-2035,20 years,UNITED LEGAL GROUP,United Surety,1500,238,Sibling,50000,John Sanchez
2700031,FCS138-6106390,04/04/2025,06/28/2013,1500,480,1020,1020,Moore,Mark,238-59-8432,6178 2nd St,Columbus,OH,43085,11/12/1963,(624) 870-2622,mark.moore31@dummyemail.com,HOME 6178 2nd St Columbus OH 43085,,,,,,,,,,,,300,Monthly,2024-09-30,300,189,04/26/2018,Global Services LLC,Warehouse Worker,3968 Forest Ave,Houston,TX,77001,(902) 576-9920,20 years,PRIMARY OWNER INC,"Financial Casualty & Surety, Inc.",1500,565,Friend,50000,Mark Moore
2700032,FCS968-8628891,02/18/2024,10/01/2025,2000,1314,686,686,Martin,Christopher,121-16-6464,4090 Cedar Ln,Denver,CO,80014,05/30/1968,(270) 983-4394,christopher.martin32@emailtest.org,HOME 4090 Cedar Ln Denver CO 80014,Davis,Margaret,436-28-1046,4642 Cedar Ln,Phoenix,AZ,85001.0,HOME 4642 Cedar Ln Phoenix AZ 85001,06/18/1988,(456) 378-2801,margaret.davis64@example.com,200,Monthly,2022-11-20,200,60,06/26/2022,Acme Corp,Retail Clerk,2954 Sunset Blvd,Los Angeles,CA,90001,(329) 959-7897,16 years,UNITED LEGAL GROUP 3RD PARTY COLL,"Financial Casualty & Surety, Inc.",1500,918,Co-signer,150000,Christopher Martin
2700033,FCS707-2829622,02/21/2025,03/09/2022,2000,1936,64,64,Johnson,Karen,844-94-9543,5041 Walnut St,Boston,MA,2101,10/17/1952,(262) 690-7580,karen.johnson33@dummyemail.com,HOME 5041 Walnut St Boston MA 02101,,,,,,,,,,,,500,Weekly,2023-05-14,500,37,10/14/2016,Acme Corp,Dietary Aide,2530 Pine Ave,Phoenix,AZ,85001,(481) 839-9984,10 years,UNITED LEGAL GROUP,National Bonding,1800,603,Mother,150000,Karen Johnson
2700034,FCS719-8217547,02/26/2024,06/14/2013,9000,3522,5478,5478,Anderson,Susan,333-62-6553,7530 Birch St,Columbus,OH,43085,07/13/1958,(520) 637-6120,susan.anderson34@testmail.com,HOME 7530 Birch St Columbus OH 43085,,,,,,,,,,,,200,Weekly,2023-07-16,200,17,11/26/2016,St. Francis Sr. Residence (NLE),Nurse,7175 Maple Ave,Detroit,MI,48201,(956) 581-3131,17 years,UNITED LEGAL GROUP 3RD PARTY COLL,National Bonding,1800,1150,Co-signer,50000,Susan Anderson
2700035,FCS520-6932391,09/28/2025,05/15/2020,1000,991,9,9,Martin,Elizabeth,419-55-2697,9568 Court St,San Antonio,TX,78201,11/19/1963,(872) 693-4674,elizabeth.martin35@example.com,HOME 9568 Court St San Antonio TX 78201,,,,,,,,,,,,350,Monthly,2025-02-25,350,142,04/27/2022,United Legal Group,Sales Associate,9290 4th St,Washington,DC,20001,(891) 858-1430,19 years,PRIMARY OWNER INC,"Financial Casualty & Surety, Inc.",900,279,Employer,90000,Elizabeth Martin
2700036,FCS459-1102438,05/20/2024,02/05/2014,12000,10769,1231,1231,Williams,Richard,245-91-1502,1603 Court St,San Antonio,TX,78201,10/02/1983,(629) 664-6585,richard.williams36@mail.com,HOME 1603 Court St San Antonio TX 78201,,,,,,,,,,,,350,Weekly,2024-03-22,350,43,10/15/2025,St. Francis Sr. Residence (NLE),Driver,2679 4th St,Los Angeles,CA,90001,(890) 283-5458,14 years,UNITED LEGAL GROUP,Liberty Bonds Co.,1800,905,Sibling,90000,Richard Williams
2700037,FCS320-9595744,03/12/2024,08/17/2018,4500,908,3592,3592,Perez,Elizabeth,794-85-8972,8733 Hillcrest Rd,Los Angeles,CA,90001,10/13/1969,(604) 813-1897,elizabeth.perez37@example.com,HOME 8733 Hillcrest Rd Los Angeles CA 90001,Harris,Michael,240-42-5742,5475 Maple Ave,New York,NY,10001.0,HOME 5475 Maple Ave New York NY 10001,08/15/1984,(964) 640-3878,michael.harris74@mail.com,400,Weekly,2024-10-28,400,117,06/29/2021,Main St Manufacturing,Customer Service,1280 Birch St,Detroit,MI,48201,(243) 646-1307,14 years,UNITED LEGAL GROUP 3RD PARTY COLL,United Surety,1800,879,Sister,100000,Elizabeth Perez
2700038,FCS826-8007741,09/08/2024,06/20/2013,4500,170,4330,4330,Garcia,David,732-68-6928,1543 Spruce St,Houston,TX,77001,10/30/1971,(646) 803-7560,david.garcia38@emailtest.org,HOME 1543 Spruce St Houston TX 77001,Martinez,Margaret,863-53-4630,5556 Elm St,Chicago,IL,60601.0,HOME 5556 Elm St Chicago IL 60601,10/18/1985,(848) 316-9693,margaret.martinez76@emailtest.org,250,Bi-Weekly,2022-11-06,250,186,01/24/2025,United Legal Group,Construction Worker,1784 Cedar Ln,Dallas,TX,75201,(402) 377-3504,20 years,UNITED LEGAL GROUP 3RD PARTY COLL,ABC Insurance Co.,1500,950,Sister,150000,David Garcia
2700039,FCS559-6422534,08/20/2025,12/22/2017,1800,900,900,900,Thomas,John,552-90-5961,4600 3rd St,Los Angeles,CA,90001,07/29/1981,(719) 275-6085,john.thomas39@dummyemail.com,HOME 4600 3rd St Los Angeles CA 90001,,,,,,,,,,,,100,Bi-Weekly,2025-07-17,100,36,09/28/2016,St. Francis Sr. Residence (NLE),Dietary Aide,9833 Court St,Fort Worth,TX,76101,(673) 794-1672,14 years,OWNER NAME LLC,United Surety,1800,974,Father,75000,John Thomas
2700040,FCS163-8558523,03/01/2024,08/03/2018,1500,1033,467,467,Garcia,Christopher,140-41-8172,7299 Court St,Indianapolis,IN,46201,03/29/1964,(572) 581-5634,christopher.garcia40@dummyemail.com,HOME 7299 Court St Indianapolis IN 46201,,,,,,,,,,,,350,Weekly,2024-03-25,350,26,09/24/2024,Acme Corp,Nurse,5501 Maple Ave,Seattle,WA,98101,(894) 595-5655,8 years,OWNER NAME LLC,United Surety,500,298,Sibling,90000,Christopher Garcia
2700041,FCS417-7575963,03/28/2024,03/25/2024,1500,634,866,866,Gonzalez,Sarah,758-52-3093,8724 Pine Ave,Boston,MA,2101,12/27/1987,(720) 570-1298,sarah.gonzalez41@testmail.com,HOME 8724 Pine Ave Boston MA 02101,,,,,,,,,,,,250,Bi-Weekly,2025-03-05,250,124,01/13/2018,United Legal Group,Driver,2638 Pine Ave,San Jose,CA,95101,(303) 719-9843,16 years,UNITED LEGAL GROUP 3RD PARTY COLL,United Surety,1800,268,Sister,100000,Sarah Gonzalez
2700042,FCS257-3722056,05/20/2024,11/23/2024,1800,1476,324,324,Johnson,Joseph,520-56-4891,7377 4th St,San Jose,CA,95101,04/11/1990,(439) 746-4918,joseph.johnson42@testmail.com,HOME 7377 4th St San Jose CA 95101,,,,,,,,,,,,500,Monthly,2022-12-10,500,347,04/12/2022,Global Services LLC,Warehouse Worker,4716 Birch St,Indianapolis,IN,46201,(740) 628-3655,6 years,OWNER NAME LLC,United Surety,500,328,Mother,90000,Joseph Johnson
2700043,FCS667-2721170,11/14/2025,06/16/2022,1500,583,917,917,Harris,John,264-44-8361,8510 Cedar Ln,Columbus,OH,43085,03/25/1958,(427) 661-6727,john.harris43@example.com,HOME 8510 Cedar Ln Columbus OH 43085,,,,,,,,,,,,400,Weekly,2022-12-22,400,120,03/18/2020,St. Francis Sr. Residence (NLE),Customer Service,3778 Main St,Austin,TX,73301,(301) 931-6493,4 years,OWNER NAME LLC,"Financial Casualty & Surety, Inc.",1200,967,Sibling,100000,John Harris
2700044,FCS559-1088100,02/06/2024,04/24/2011,2500,883,1617,1617,Jones,Anthony,661-87-9647,7034 Maple Ave,Oklahoma City,OK,73101,11/06/1975,(443) 508-2996,anthony.jones44@example.com,HOME 7034 Maple Ave Oklahoma City OK 73101,Sanchez,Christopher,737-68-2029,1916 Cherry Ln,Washington,DC,20001.0,HOME 1916 Cherry Ln Washington DC 20001,02/03/1988,(216) 847-9443,christopher.sanchez88@emailtest.org,250,Weekly,2021-09-07,250,74,09/11/2020,St. Francis Sr. Residence (NLE),Dietary Aide,5880 Lakeview Dr,Denver,CO,80014,(626) 391-2402,16 years,PRIMARY OWNER INC,"Financial Casualty & Surety, Inc.",1800,1114,Father,150000,Anthony Jones
2700045,FCS667-1341153,12/20/2024,06/06/2021,1000,650,350,350,Lopez,Richard,359-12-6850,1206 Forest Ave,San Diego,CA,92101,04/20/1959,(990) 795-6447,richard.lopez45@mail.com,HOME 1206 Forest Ave San Diego CA 92101,Hernandez,Sarah,758-32-8612,7940 Elm St,Phoenix,AZ,85001.0,HOME 7940 Elm St Phoenix AZ 85001,08/29/1945,(933) 994-8498,sarah.hernandez90@example.com,300,Monthly,2021-02-14,300,102,10/25/2025,St. Francis Sr. Residence (NLE),Receptionist,5180 Court St,Fort Worth,TX,76101,(756) 684-5150,1 years,OWNER NAME LLC,United Surety,1200,97,Co-signer,90000,Richard Lopez
2700046,FCS227-7174337,02/06/2025,11/09/2019,6000,3167,2833,2833,Garcia,David,608-98-9151,6118 Court St,Dallas,TX,75201,05/31/1957,(944) 634-2293,david.garcia46@dummyemail.com,HOME 6118 Court St Dallas TX 75201,,,,,,,,,,,,200,Weekly,2022-07-11,200,82,01/12/2017,St. Francis Sr. Residence (NLE),Receptionist,4943 Hillcrest Rd,Charlotte,NC,28201,(817) 934-7981,5 years,UNITED LEGAL GROUP,United Surety,1500,86,Co-signer,150000,David Garcia
