DefendantID,CustomersFirstName,CustomersLastName,CustomersState,AccountBalance
2700597,Mary,Martinez,TX,1371
2700600,Thomas,Rodriguez,TX,261
2700606,Mary,Garcia,TX,1015
2700610,Margaret,Williams,TX,8586
2700615,Michael,Williams,TX,2712
2700616,Nancy,Ramirez,TX,2381
2700617,Matthew,Jones,TX,526
2700633,Margaret,Smith,TX,324
2700638,Michael,Martin,TX,830
2700639,Lisa,Sanchez,TX,1846
2700643,William,Thompson,TX,3866
2700646,Karen,Lewis,TX,2075
2700651,Barbara,Taylor,TX,2743
2700652,Michael,Brown,TX,1004
2700656,Richard,Gonzalez,TX,8447
2700660,Christopher,Thomas,TX,54
2700662,Barbara,Williams,TX,2265
2700668,Mary,Perez,TX,1660
2700678,Joseph,Gonzalez,TX,386
2700683,Michael,Davis,TX,10345
2700685,Jennifer,Martinez,TX,1462
2700690,John,Brown,TX,271
2700693,Sandra,Hernandez,TX,1832
2700696,James,Moore,TX,1219
2700697,James,Jones,TX,5064
2700707,Margaret,Davis,TX,6567
2700727,Charles,Thompson,TX,8817
2700729,James,Harris,TX,685
2700734,James,Rodriguez,TX,641
2700743,Daniel,Thompson,TX,974
2700745,Lisa,Martinez,TX,1172
2700746,Michael,Lewis,TX,2095
2700752,Patricia,Thompson,TX,4195
2700758,Charles,Wilson,TX,746
2700760,Barbara,Martin,TX,15
2700780,Barbara,Lee,TX,1027
2700787,Thomas,Hernandez,TX,1082
2700791,Jennifer,Thomas,TX,3462
2700793,Sandra,Lopez,TX,954
2700797,Charles,Gonzalez,TX,6671
2700806,John,Robinson,TX,182
2700809,Sarah,Thompson,TX,1186
2700829,Mark,Martinez,TX,9657
2700834,Patricia,Anderson,TX,4072
2700840,Sandra,Martin,TX,2243
2700842,John,Jackson,TX,1582
2700853,Joseph,Sanchez,TX,11113
2700854,Thomas,Moore,TX,497
2700864,Lisa,Garcia,TX,2885
2700867,Matthew,Davis,TX,969
2700868,James,Lewis,TX,322
2700869,John,Anderson,TX,740
2700878,Patricia,Lopez,TX,31
2700885,Margaret,Anderson,TX,1232
2700886,Sarah,Miller,TX,380
2700891,Patricia,Williams,TX,444
2700894,Michael,Thomas,TX,690
2700901,Patricia,Lee,TX,602
2700902,Elizabeth,White,TX,1742
2700903,Matthew,Jackson,TX,2871
2700904,Jennifer,Martinez,TX,3513
2700910,Daniel,Robinson,TX,382
2700915,Matthew,Johnson,TX,1212
2700918,Karen,Robinson,TX,8
2700923,John,White,TX,1681
2700927,Joseph,Gonzalez,TX,312
2700931,Lisa,Miller,TX,1749
2700932,Elizabeth,Davis,TX,915
2700934,Anthony,Thomas,TX,2760
2700938,William,Jackson,TX,380
2700946,Jessica,Martin,TX,1117
2700950,Charles,Wilson,TX,74
2700952,Daniel,Hernandez,TX,1898
2700962,Daniel,Harris,TX,4061
2700965,Jessica,Anderson,TX,13
2700971,Thomas,Martinez,TX,2140
2700973,David,Gonzalez,TX,502
2700977,Linda,Moore,TX,1850
2700987,Michael,Robinson,TX,462
2700989,Joseph,Lopez,TX,91
2700993,Linda,White,TX,643
2700994,Barbara,Jackson,TX,727
2700995,Susan,Smith,TX,951
2701003,Joseph,Garcia,TX,3452
2701009,William,Perez,TX,549
2701022,Linda,Anderson,TX,556
2701027,John,Harris,TX,8962
2701035,Lisa,Smith,TX,5462
2701038,Richard,Lee,TX,39
2701040,Mark,Taylor,TX,2232
2701041,Lisa,Miller,TX,1172
2701042,Betty,Ramirez,TX,1199
2701048,Sandra,Garcia,TX,1604
2701050,Thomas,Lee,TX,2145
2701068,Robert,Brown,TX,5412
2701071,Matthew,Johnson,TX,6792
2701072,Richard,Martinez,TX,109
2701078,Michael,Davis,TX,688
2701085,Margaret,Thomas,TX,407
2701087,Anthony,Ramirez,TX,1072
2701091,Sandra,Thompson,TX,1446
2701095,Sandra,Garcia,TX,2250
2701098,Jennifer,Taylor,TX,564
2701108,Barbara,Ramirez,TX,7148
2701111,Joseph,Harris,TX,3904
2701113,Betty,Smith,TX,1453
2701116,Matthew,Miller,TX,1087
2701117,Charles,Ramirez,TX,1587
2701120,Sarah,Thomas,TX,3706
2701126,David,Martinez,TX,11799
2701128,Margaret,Wilson,TX,4949
2701135,Jessica,Lee,TX,2166
2701139,Robert,Hernandez,TX,1422
2701140,Nancy,Garcia,TX,292
2701142,James,Hernandez,TX,1111
2701152,Richard,Clark,TX,7111
2701153,Richard,Lewis,TX,491
2701154,Margaret,Rodriguez,TX,638
2701156,Mary,Brown,TX,2922
2701159,James,Clark,TX,1091
2701161,Barbara,Anderson,TX,1208
2701162,Margaret,Sanchez,TX,117
2701170,Mary,Williams,TX,2543
2701174,Richard,Clark,TX,2330
2701182,Thomas,Wilson,TX,49
2701184,Anthony,Martin,TX,1517
2701185,John,Lewis,TX,2785
2701186,Margaret,Rodriguez,TX,859
2701187,Jennifer,Gonzalez,TX,430
2701203,Daniel,Williams,TX,4360
2701204,Nancy,Hernandez,TX,1814
2701205,Joseph,Thompson,TX,6319
2701212,John,Lopez,TX,2696
2701213,Lisa,Sanchez,TX,1578
2701214,Christopher,White,TX,5922
2701217,Margaret,Lee,TX,8125
2701218,Margaret,Perez,TX,4903
2701219,Christopher,Wilson,TX,637
2701224,William,Thomas,TX,836
2701227,Sarah,Smith,TX,5590
2701228,Christopher,Robinson,TX,1256
2701235,Charles,Gonzalez,TX,297
2701238,Margaret,Williams,TX,7495
2701240,Mary,Lewis,TX,4000
2701250,John,Perez,TX,957
2701251,Linda,Moore,TX,1053
2701252,William,Clark,TX,2005
2701253,Thomas,Taylor,TX,4420
2701259,Daniel,Wilson,TX,2196
2701260,Elizabeth,Martinez,TX,1100
2701261,James,Davis,TX,7220
2701263,James,Harris,TX,5369
2701271,Susan,Williams,TX,1679
2701275,Daniel,Taylor,TX,6168
2701278,Jennifer,White,TX,64
2701287,David,Perez,TX,593
2701288,Sarah,Jackson,TX,749
2701290,Sandra,Jackson,TX,7
2701293,Christopher,Clark,TX,272
2701302,David,Thompson,TX,894
2701304,Matthew,Ramirez,TX,677
2701313,Richard,Lewis,TX,218
2701314,Mark,Miller,TX,4730
2701319,Margaret,Davis,TX,715
2701327,David,Brown,TX,1286
2701351,Mary,Williams,TX,1618
2701356,William,Wilson,TX,5647
2701357,James,Martin,TX,371
2701360,Mary,Williams,TX,1702
2701373,Sandra,Lee,TX,5639
2701375,Margaret,Taylor,TX,531
2701377,Nancy,Wilson,TX,535
2701378,John,Harris,TX,1043
2701380,Robert,Thomas,TX,138
2701383,Christopher,Jackson,TX,2390
2701396,Anthony,Davis,TX,1569
2701397,Elizabeth,Thompson,TX,1583
2701401,Robert,Robinson,TX,1388
2701406,Sarah,Hernandez,TX,505
2701424,Jessica,Jones,TX,253
2701434,Joseph,Jones,TX,614
2701446,Sarah,Martinez,TX,1208
2701451,John,Anderson,TX,426
2701452,Michael,Williams,TX,1841
2701454,Matthew,Lopez,TX,79
2701456,Lisa,Perez,TX,823
2701458,Linda,Garcia,TX,979
2701465,Robert,Jones,TX,1045
2701471,Matthew,Ramirez,TX,851
2701474,Barbara,Wilson,TX,1195
2701479,Betty,Harris,TX,79
2701487,Richard,Martin,TX,764
2701490,Charles,Anderson,TX,32
2701492,David,Brown,TX,1500
2701494,Betty,Wilson,TX,38
2701497,Jennifer,Lewis,TX,100
2701501,Christopher,Rodriguez,TX,538
2701504,Charles,Robinson,TX,1433
2701515,Karen,Lee,TX,96
2701519,Sarah,Gonzalez,TX,7270
2701522,Margaret,Perez,TX,2122
2701529,James,Perez,TX,4487
2701530,Margaret,Lee,TX,1050
2701532,Daniel,Sanchez,TX,531
2701543,Lisa,Garcia,TX,1732
2701544,Barbara,Johnson,TX,302
2701545,James,Smith,TX,4003
2701550,Barbara,Moore,TX,1602
2701558,John,Clark,TX,112
2701559,Linda,Rodriguez,TX,5822
2701561,Charles,Williams,TX,1509
2701572,Charles,Jackson,TX,978
2701574,Mark,Lopez,TX,2676
2701575,Mark,Brown,TX,377
2701583,Joseph,Garcia,TX,846
2701585,Susan,Harris,TX,1604
2701586,Mark,Wilson,TX,1061
2701588,Mark,Wilson,TX,1415
2701590,Michael,Lee,TX,1466
2701593,James,Lopez,TX,1609
2701596,Nancy,Thomas,TX,388
2701606,Linda,Perez,TX,6884
2701614,Joseph,Lee,TX,5680
2701615,Christopher,White,TX,1470
2701620,Betty,Harris,TX,3431
2701621,Mark,Thomas,TX,8461
2701626,Sandra,Ramirez,TX,936
2701629,Joseph,Sanchez,TX,2485
2701631,Daniel,Taylor,TX,480
2701633,Patricia,Robinson,TX,5688
2701640,Betty,Lopez,TX,1701
2701646,Barbara,Martin,TX,1291
2701647,Susan,Moore,TX,1715
2701664,Linda,Miller,TX,931
2701665,Sarah,Smith,TX,1012
2701671,Lisa,Taylor,TX,15
2701673,Robert,Lopez,TX,567
2701678,Elizabeth,Martinez,TX,1293
2701679,Elizabeth,White,TX,428
2701681,William,Lopez,TX,9042
2701693,Mary,Smith,TX,13
2701695,Mark,Brown,TX,543
2701713,Jessica,Taylor,TX,254
2701716,Jessica,Moore,TX,39
2701727,Mark,Gonzalez,TX,1816
2701732,Jessica,Clark,TX,489
2701733,Michael,Robinson,TX,10925
2701734,Anthony,Brown,TX,503
2701737,David,Moore,TX,2212
2701749,Barbara,Lopez,TX,863
2701757,Sandra,Sanchez,TX,357
2701763,John,Gonzalez,TX,7507
2701767,Sarah,Lewis,TX,215
2701769,Sandra,Thompson,TX,5234
2701780,Thomas,Wilson,TX,5089
2701784,Christopher,Brown,TX,10679
2701785,Sandra,Williams,TX,494
2701789,Robert,Gonzalez,TX,4059
2701802,William,Sanchez,TX,695
2701804,Lisa,Martin,TX,5467
2701806,Nancy,Robinson,TX,555
2701809,Barbara,Lewis,TX,1698
2701812,Anthony,Gonzalez,TX,5607
2701816,Linda,White,TX,3165
2701820,Mary,Clark,TX,4315
2701826,James,Jones,TX,921
2701830,Robert,Gonzalez,TX,2443
2701832,David,Thompson,TX,485
2701839,Daniel,Wilson,TX,618
2701843,Joseph,Jackson,TX,9669
2701844,Mary,Lopez,TX,2745
2701847,Jennifer,Miller,TX,597
2701859,Mark,Williams,TX,2377
2701864,Margaret,Thompson,TX,427
2701874,Patricia,Williams,TX,429
2701877,Mark,Wilson,TX,2509
2701883,Susan,Hernandez,TX,3996
2701884,Daniel,Johnson,TX,1603
2701887,Daniel,Clark,TX,497
2701899,Robert,Martin,TX,1464
2701900,Anthony,Brown,TX,10841
2701901,Charles,Williams,TX,131
2701911,Nancy,Miller,TX,2533
2701912,Charles,Harris,TX,1627
2701913,Charles,Miller,TX,648
2701923,Susan,Sanchez,TX,881
2701926,Charles,Rodriguez,TX,3881
2701932,Jennifer,Clark,TX,414
2701940,William,Clark,TX,251
2701944,Margaret,Harris,TX,138
2701946,Susan,Wilson,TX,2625
2701947,Jennifer,Martin,TX,5267
2701954,Susan,Miller,TX,1049
2701957,John,Gonzalez,TX,879
2701970,Linda,Jones,TX,7906
2701976,Linda,White,TX,4715
2701977,Charles,Smith,TX,1831
2701992,Margaret,Martinez,TX,1785
2701994,Charles,Jones,TX,4055
2701995,Patricia,Lewis,TX,4294
2702000,Karen,Davis,TX,929
2702006,Barbara,Davis,TX,679
2702017,Susan,Gonzalez,TX,878
2702021,Charles,Harris,TX,212
2702022,Nancy,White,TX,253
2702025,Sarah,Williams,TX,878
2702033,Susan,Sanchez,TX,247
2702034,Mary,Lee,TX,2414
2702044,Robert,Rodriguez,TX,290
2702045,David,Martinez,TX,1212
2702046,Richard,Wilson,TX,2966
2702048,Susan,Hernandez,TX,10196
2702053,Lisa,Garcia,TX,1789
2702055,Mary,White,TX,1971
2702063,Sandra,White,TX,543
2702068,Susan,White,TX,5574
2702080,Christopher,Lopez,TX,94
2702083,Betty,Smith,TX,1645
2702086,Barbara,Hernandez,TX,771
2702093,Thomas,Rodriguez,TX,1560
2702094,Joseph,Garcia,TX,7818
2702102,Anthony,Lopez,TX,700
2702104,Jessica,Martin,TX,460
2702107,Christopher,Ramirez,TX,2257
2702125,Thomas,Lopez,TX,903
2702126,John,Lopez,TX,1460
2702129,Karen,Lewis,TX,4096
2702130,William,Jones,TX,2027
2702133,Anthony,Smith,TX,593
2702135,Patricia,Robinson,TX,348
2702139,Lisa,Garcia,TX,1239
2702149,Jennifer,Jackson,TX,389
2702150,Betty,Lewis,TX,4559
2702158,John,Lopez,TX,7418
2702162,Betty,Brown,TX,5149
2702163,Betty,Smith,TX,452
2702164,Sandra,Johnson,TX,3372
2702172,Jennifer,Lopez,TX,3669
2702174,Anthony,Williams,TX,217
2702175,Susan,Smith,TX,6509
2702180,Elizabeth,Rodriguez,TX,1247
2702183,Christopher,Johnson,TX,1462
2702190,Jessica,Lee,TX,634
2702191,Sarah,Clark,TX,7745
2702194,Margaret,Brown,TX,4718
2702195,Jessica,Perez,TX,258
2702196,Jennifer,Wilson,TX,847
2702201,Mark,Clark,TX,382
2702202,John,Miller,TX,3719
2702209,Margaret,Hernandez,TX,1101
2702213,Betty,Robinson,TX,579
2702214,Mary,Perez,TX,1343
2702220,Linda,Jones,TX,687
2702221,Nancy,Ramirez,TX,5687
2702223,Nancy,Wilson,TX,894
2702228,Thomas,Davis,TX,1876
2702230,Linda,Rodriguez,TX,3843
2702231,Anthony,Miller,TX,2634
2702233,William,Thompson,TX,471
2702234,Charles,Lopez,TX,611
2702238,Lisa,Martinez,TX,643
2702239,Jennifer,Gonzalez,TX,1566
2702240,Jessica,Jones,TX,183
2702241,Elizabeth,Jackson,TX,772
2702244,David,Garcia,TX,1397
2702245,Nancy,Sanchez,TX,1755
2702250,Joseph,Thompson,TX,289
2702273,Mary,Davis,TX,555
2702277,Linda,Hernandez,TX,3298
2702280,Jennifer,Garcia,TX,3371
2702290,John,Martinez,TX,270
2702292,Sarah,Moore,TX,29
2702293,Jessica,Lewis,TX,1028
2702295,Jessica,Sanchez,TX,330
2702296,Linda,Thomas,TX,805
2702300,Matthew,Thomas,TX,856
2702302,Joseph,Robinson,TX,4327
2702311,Charles,Perez,TX,1031
2702320,Karen,Jones,TX,2185
2702321,Margaret,Lopez,TX,1560
2702322,Christopher,White,TX,1059
2702323,Richard,Moore,TX,2779
2702324,Matthew,Wilson,TX,99
2702325,Elizabeth,Williams,TX,917
2702328,Jessica,Robinson,TX,388
2702333,Daniel,Lee,TX,3149
2702335,David,White,TX,2223
2702339,Karen,Davis,TX,1246
2702341,Joseph,Jones,TX,1154
2702350,Robert,Johnson,TX,2148
2702359,Matthew,Smith,TX,3854
2702361,Sandra,Hernandez,TX,211
2702362,Christopher,Garcia,TX,3692
2702365,Joseph,Williams,TX,4035
2702376,Nancy,Rodriguez,TX,684
2702388,Betty,Brown,TX,10350
2702392,Nancy,Garcia,TX,1370
2702403,Sandra,Jones,TX,4993
2702409,Daniel,Perez,TX,937
2702411,John,Lopez,TX,411
2702414,Jessica,Brown,TX,1284
2702415,Margaret,White,TX,4565
2702417,Barbara,Jackson,TX,592
2702420,Jennifer,Thompson,TX,6211
2702423,Thomas,Jones,TX,4152
2702426,Robert,Wilson,TX,109
2702428,Richard,Hernandez,TX,1258
2702445,James,Hernandez,TX,794
2702446,Anthony,Lee,TX,6032
2702455,Jessica,Miller,TX,797
2702457,Nancy,Miller,TX,1049
2702459,Charles,Davis,TX,1031
2702473,David,Lewis,TX,1203
2702476,Richard,Thomas,TX,958
2702480,Lisa,Lewis,TX,1143
2702484,Sandra,Thomas,TX,1339
2702485,Karen,Clark,TX,5813
2702488,Joseph,Ramirez,TX,482
2702492,Joseph,Taylor,TX,1826
2702502,Jennifer,Harris,TX,4301
2702506,Richard,Rodriguez,TX,2010
2702507,Linda,Taylor,TX,4368
2702510,Mark,Thomas,TX,1000
2702513,Matthew,Brown,TX,14
2702540,Margaret,Clark,TX,2037
2702544,Betty,Ramirez,TX,1272
2702546,Thomas,Jackson,TX,1615
2702547,Joseph,Miller,TX,1511
2702551,Sarah,White,TX,369
2702552,Christopher,Jones,TX,531
2702558,Susan,Rodriguez,TX,1306
2702566,Margaret,Jackson,TX,796
2702569,Joseph,Sanchez,TX,1166
2702577,Thomas,Brown,TX,6053
2702578,Karen,Martinez,TX,10704
2702579,Anthony,Perez,TX,3141
2702580,Patricia,Smith,TX,2326
2702581,David,Smith,TX,781
2702582,Nancy,Harris,TX,537
2702586,Margaret,Ramirez,TX,7053
2702587,Christopher,Brown,TX,1750
2702588,Barbara,Smith,TX,897
2702590,Karen,Taylor,TX,3220
2702592,Patricia,Williams,TX,9197
2702600,Jessica,Perez,TX,4130
2702602,Karen,Lopez,TX,1008
2702605,David,Wilson,TX,1683
2702608,Betty,Moore,TX,416
2702614,Barbara,Smith,TX,387
2702620,Charles,Gonzalez,TX,1508
2702621,Jennifer,Williams,TX,1432
2702624,Nancy,Williams,TX,1408
2702627,David,Jackson,TX,1140
2702628,David,Harris,TX,717
2702631,Mark,Thomas,TX,462
2702635,Matthew,Davis,TX,682
2702639,Mark,Jones,TX,832
2702643,David,Jackson,TX,1739
2702644,Matthew,Clark,TX,1135
2702648,Richard,Sanchez,TX,1927
2702652,Mark,Anderson,TX,4905
2702662,Mary,Sanchez,TX,80
2702664,John,Robinson,TX,310
2702666,William,Taylor,TX,306
2702668,Nancy,Thompson,TX,3922
2702676,Betty,Thomas,TX,1140
2702685,Nancy,Sanchez,TX,1504
2702688,Michael,Moore,TX,2532
2702692,Jessica,Miller,TX,1334
2702693,Karen,Lopez,TX,1938
2702701,Mark,Moore,TX,76
2702704,Susan,Hernandez,TX,4167
2702707,James,Davis,TX,997
2702710,Linda,Miller,TX,4532
2702713,Linda,Lee,TX,812
2702715,Margaret,Anderson,TX,723
2702718,Lisa,Thompson,TX,10250
2702721,Matthew,Moore,TX,3810
2702722,Richard,Sanchez,TX,552
2702723,Robert,Lee,TX,1432
2702725,Anthony,Thomas,TX,8135
2702729,David,White,TX,3082
2702730,Lisa,Smith,TX,834
2702731,Susan,Garcia,TX,21
2702732,Linda,Jones,TX,9
2702734,Christopher,Robinson,TX,9176
2702738,Joseph,Martin,TX,1752
2702741,David,White,TX,161
2702744,David,Brown,TX,1853
2702747,Margaret,Thompson,TX,714
2702751,Jennifer,Rodriguez,TX,839
2702752,Sarah,Rodriguez,TX,849
2702763,Linda,Miller,TX,932
2702766,Elizabeth,Davis,TX,225
2702776,Margaret,Lopez,TX,6386
2702783,Lisa,Moore,TX,1151
2702791,Daniel,Jackson,TX,2830
2702793,Richard,Lopez,TX,879
2702795,Linda,Perez,TX,1014
2702800,Barbara,Perez,TX,2791
2702803,Mary,Miller,TX,162
2702808,Michael,Moore,TX,436
2702809,Margaret,White,TX,1039
2702820,Karen,Martinez,TX,521
2702821,Michael,Ramirez,TX,3634
2702823,Charles,Robinson,TX,796
2702830,Daniel,Lewis,TX,40
2702834,Mary,Lewis,TX,2328
2702842,Richard,Williams,TX,234
2702848,Robert,Rodriguez,TX,1176
2702849,Daniel,White,TX,1569
2702853,Richard,Moore,TX,934
2702857,Joseph,Lewis,TX,1686
2702859,Karen,Williams,TX,423
2702865,Sandra,Jackson,TX,665
2702866,Robert,Taylor,TX,8641
2702871,Elizabeth,Martin,TX,4240
2702872,Mark,Hernandez,TX,2524
2702873,Barbara,Smith,TX,1513
2702875,Matthew,Hernandez,TX,3877
2702881,Charles,Ramirez,TX,327
2702887,Patricia,Johnson,TX,1772
2702888,Susan,Clark,TX,1634
2702892,Anthony,Garcia,TX,221
2702895,Betty,Garcia,TX,172
2702902,Susan,Anderson,TX,1184
2702903,Joseph,Taylor,TX,896
2702910,Michael,Martin,TX,2569
2702912,Patricia,Robinson,TX,1147
2702913,Lisa,Hernandez,TX,660
2702915,Karen,Garcia,TX,1548
2702922,Mary,Davis,TX,626
2702929,Nancy,Williams,TX,5872
2702930,John,Davis,TX,544
2702935,John,Gonzalez,TX,1591
2702938,Matthew,Perez,TX,371
2702945,Mary,Robinson,TX,1361
2702952,Michael,Moore,TX,1300
2702953,Betty,Lopez,TX,412
2702955,Patricia,Gonzalez,TX,2491
2702958,Sarah,Taylor,TX,513
2702959,Elizabeth,Robinson,TX,612
2702964,Susan,Clark,TX,1095
2702965,John,Moore,TX,808
2702966,Mary,Perez,TX,748
2702975,Karen,Williams,TX,587
2702976,Robert,Garcia,TX,308
2702977,Lisa,Moore,TX,705
2702987,David,Miller,TX,547
2702990,Richard,Smith,TX,1351
2702991,Thomas,Ramirez,TX,14
2702994,Matthew,Davis,TX,548
2702995,Christopher,Smith,TX,1174
2702996,Daniel,Lopez,TX,1179
2703008,Barbara,Martin,TX,5228
2703009,Betty,Wilson,TX,873
2703014,Susan,Harris,TX,2753
2703022,Thomas,Perez,TX,4495
2703040,Karen,Wilson,TX,609
2703042,Daniel,Martin,TX,5705
2703044,Nancy,Ramirez,TX,1734
2703056,Christopher,Wilson,TX,516
2703057,Robert,Williams,TX,11710
2703059,Joseph,Jones,TX,369
2703061,Jessica,Williams,TX,5696
2703064,Margaret,Moore,TX,277
2703069,Lisa,Jones,TX,558
2703073,Elizabeth,Lewis,TX,951
2703086,Sarah,Williams,TX,11184
2703089,Anthony,Rodriguez,TX,1728
2703091,Elizabeth,Lewis,TX,444
2703095,Sarah,Martin,TX,2124
2703097,Robert,Ramirez,TX,945
2703099,Anthony,Lewis,TX,1464
2703103,Charles,Ramirez,TX,3960
2703104,Elizabeth,Harris,TX,932
2703105,William,Jackson,TX,1405
2703108,Thomas,Harris,TX,10017
2703112,James,Clark,TX,531
2703114,Nancy,Lewis,TX,573
2703123,Daniel,Ramirez,TX,2617
2703124,Michael,Anderson,TX,7145
2703127,Robert,Davis,TX,443
2703136,Betty,Lopez,TX,326
2703137,Daniel,Williams,TX,1587
2703141,Thomas,Gonzalez,TX,659
2703146,Betty,Jackson,TX,3671
2703151,Lisa,Garcia,TX,495
2703155,Richard,Lewis,TX,844
2703156,Richard,Perez,TX,1480
2703162,Sandra,Garcia,TX,5410
2703163,William,Lewis,TX,2060
2703169,Patricia,Harris,TX,2304
2703172,John,Perez,TX,890
2703181,Matthew,Lewis,TX,1273
2703182,Joseph,Davis,TX,2850
2703183,Patricia,Rodriguez,TX,4341
2703186,John,Rodriguez,TX,1105
2703187,Matthew,Clark,TX,3563
2703189,Jennifer,Thomas,TX,741
2703190,Linda,Rodriguez,TX,2550
2703192,Margaret,Brown,TX,4399
2703194,Karen,Wilson,TX,2749
2703196,Margaret,Garcia,TX,8565
2703197,Karen,Jackson,TX,614
2703199,Patricia,Hernandez,TX,8058
2703202,Christopher,Perez,TX,2846
2703204,Richard,Gonzalez,TX,8
2703208,Sandra,Perez,TX,4061
2703209,Charles,Jackson,TX,454
2703210,Mark,Davis,TX,748
2703216,Betty,Hernandez,TX,12000
2703226,John,Martinez,TX,1399
