DefendantID,CustomersFirstName,CustomersLastName,CustomersAddress1,CustomersCity,CustomersState,CustomersZIP,TotalBilled,TotalReceived,AccountBalance
2700299,Nancy,Harris,6920 2nd St,San Antonio,TX,78201,12000,2280,9720
2700305,Margaret,White,582 Elm St,Austin,TX,73301,1500,76,1424
2700306,Jennifer,Perez,8229 Washington St,San Antonio,TX,78201,1500,697,803
2700311,Michael,Gonzalez,8824 Oak St,El Paso,TX,79901,1000,229,771
2700319,Matthew,Brown,2410 Maple Ave,San Antonio,TX,78201,2500,2482,18
2700320,Lisa,Perez,3744 Pine Ave,Austin,TX,73301,1800,570,1230
2700324,David,Robinson,906 Court St,San Antonio,TX,78201,1500,1443,57
2700332,Sandra,Smith,4604 Cherry Ln,Fort Worth,TX,76101,2500,2059,441
2700333,Joseph,Lee,1697 2nd St,Dallas,TX,75201,1500,114,1386
2700341,Thomas,Lopez,8865 Forest Ave,Houston,TX,77001,12000,7377,4623
2700343,Richard,Smith,7201 Maple Ave,San Antonio,TX,78201,2500,1730,770
2700349,Robert,Robinson,4433 Maple Ave,Austin,TX,73301,4500,2783,1717
2700357,Joseph,Davis,3360 Sunset Blvd,Dallas,TX,75201,1800,657,1143
2700359,Joseph,Lee,9551 Cedar Ln,San Antonio,TX,78201,3000,2180,820
2700360,Jennifer,Taylor,2768 Washington St,Houston,TX,77001,1500,190,1310
2700362,Mary,Moore,2881 Elm St,Houston,TX,77001,1800,834,966
2700378,Betty,Harris,8743 Oak St,San Antonio,TX,78201,2500,2038,462
2700379,Michael,Thomas,841 Birch St,San Antonio,TX,78201,1500,1462,38
2700383,John,Smith,4727 4th St,Fort Worth,TX,76101,12000,8938,3062
2700385,Susan,Garcia,6423 3rd St,El Paso,TX,79901,4500,4239,261
2700394,Elizabeth,Lee,7128 4th St,Houston,TX,77001,6000,106,5894
2700397,Karen,Anderson,4581 Walnut St,Dallas,TX,75201,4500,1285,3215
2700399,Matthew,Davis,5334 Ridgeway Dr,Fort Worth,TX,76101,1000,224,776
2700401,Sarah,Martin,1372 4th St,Houston,TX,77001,6000,3933,2067
2700411,James,Martinez,7970 Washington St,San Antonio,TX,78201,12000,8692,3308
2700413,Jessica,Hernandez,4222 Sunset Blvd,Dallas,TX,75201,1500,1416,84
2700418,David,Lopez,4862 Lakeview Dr,Fort Worth,TX,76101,2000,446,1554
2700425,Mary,Martinez,6954 3rd St,San Antonio,TX,78201,2000,85,1915
2700430,Mary,Clark,8252 Walnut St,El Paso,TX,79901,1500,100,1400
2700431,James,Lee,5624 Main St,Houston,TX,77001,1000,789,211
2700432,Elizabeth,Lewis,9595 Sunset Blvd,Fort Worth,TX,76101,6000,2168,3832
2700433,Jessica,Smith,2869 Hillcrest Rd,El Paso,TX,79901,2000,1938,62
2700435,Lisa,Thompson,9233 Walnut St,Fort Worth,TX,76101,6000,4803,1197
2700438,John,Hernandez,375 Cherry Ln,San Antonio,TX,78201,9000,4056,4944
2700439,Daniel,Wilson,123 Maple Ave,Fort Worth,TX,76101,12000,2042,9958
2700440,Nancy,Miller,6476 Forest Ave,San Antonio,TX,78201,2500,1816,684
2700445,William,Miller,840 Elm St,San Antonio,TX,78201,1000,683,317
2700453,Nancy,Garcia,1486 Cherry Ln,Fort Worth,TX,76101,3000,2226,774
2700455,Sandra,Harris,5464 Birch St,Houston,TX,77001,1500,171,1329
2700459,Linda,Lee,974 Maple Ave,El Paso,TX,79901,1000,217,783
2700473,Sandra,Clark,2800 Oak St,San Antonio,TX,78201,12000,1220,10780
2700485,Elizabeth,Smith,8698 Cedar Ln,Austin,TX,73301,1500,184,1316
2700491,Lisa,Martinez,1731 Cedar Ln,San Antonio,TX,78201,12000,9118,2882
2700496,Susan,Smith,5013 Pine Ave,San Antonio,TX,78201,12000,1116,10884
2700498,Sarah,Wilson,4179 3rd St,Fort Worth,TX,76101,4500,2171,2329
2700499,Nancy,White,9197 Birch St,San Antonio,TX,78201,1500,865,635
2700506,John,Thomas,7478 2nd St,Houston,TX,77001,3000,2819,181
2700508,John,Thompson,7210 Birch St,Houston,TX,77001,1000,16,984
2700509,Sandra,Garcia,5497 3rd St,Fort Worth,TX,76101,6000,3311,2689
2700512,Joseph,Martinez,8099 Hillcrest Rd,Fort Worth,TX,76101,6000,3986,2014
2700514,John,Brown,3016 Walnut St,Houston,TX,77001,9000,966,8034
2700518,Mark,Davis,7680 Court St,Fort Worth,TX,76101,12000,1666,10334
2700519,James,Garcia,1393 Ridgeway Dr,Houston,TX,77001,3000,243,2757
2700520,Matthew,Clark,6533 Hillcrest Rd,El Paso,TX,79901,2000,1364,636
2700538,Richard,Garcia,6188 Oak St,Fort Worth,TX,76101,4500,468,4032
2700539,David,White,6023 Ridgeway Dr,Dallas,TX,75201,4500,518,3982
2700540,Elizabeth,Williams,7145 4th St,Fort Worth,TX,76101,1500,306,1194
2700547,Michael,Clark,648 Lakeview Dr,San Antonio,TX,78201,2500,751,1749
2700553,Richard,Ramirez,8940 Washington St,San Antonio,TX,78201,12000,10584,1416
2700557,Mary,Gonzalez,115 Oak St,Fort Worth,TX,76101,9000,8802,198
2700561,Barbara,Lewis,8756 Cherry Ln,Austin,TX,73301,9000,3666,5334
2700564,Christopher,Hernandez,8836 Maple Ave,Fort Worth,TX,76101,6000,4251,1749
2700565,Elizabeth,Perez,9848 Cherry Ln,Dallas,TX,75201,3000,1976,1024
2700569,Elizabeth,Martin,7540 Hillcrest Rd,Dallas,TX,75201,1000,371,629
2700579,Robert,Thomas,2300 Court St,Houston,TX,77001,1000,270,730
2700581,William,Brown,1946 Forest Ave,San Antonio,TX,78201,1000,849,151
2700582,Daniel,Thomas,1733 3rd St,San Antonio,TX,78201,1000,724,276
2700590,Richard,Davis,4020 3rd St,Houston,TX,77001,9000,8503,497
2700594,Christopher,Hernandez,4799 Birch St,Houston,TX,77001,1800,1610,190
2700597,Mary,Martinez,9073 Cedar Ln,Houston,TX,77001,2000,629,1371
2700600,Thomas,Rodriguez,7745 Court St,Austin,TX,73301,1000,739,261
2700606,Mary,Garcia,4352 Birch St,El Paso,TX,79901,1800,785,1015
2700610,Margaret,Williams,3639 Pine Ave,Fort Worth,TX,76101,9000,414,8586
2700615,Michael,Williams,9733 Forest Ave,Dallas,TX,75201,6000,3288,2712
2700616,Nancy,Ramirez,4226 Birch St,Houston,TX,77001,3000,619,2381
2700617,Matthew,Jones,5007 Lakeview Dr,El Paso,TX,79901,2000,1474,526
2700633,Margaret,Smith,8417 3rd St,Austin,TX,73301,1000,676,324
2700638,Michael,Martin,2635 Cedar Ln,Fort Worth,TX,76101,1500,670,830
2700639,Lisa,Sanchez,4963 Main St,Austin,TX,73301,2500,654,1846
2700643,William,Thompson,4177 4th St,El Paso,TX,79901,6000,2134,3866
2700646,Karen,Lewis,7899 Cherry Ln,Dallas,TX,75201,3000,925,2075
2700651,Barbara,Taylor,6235 Washington St,El Paso,TX,79901,3000,257,2743
2700652,Michael,Brown,9660 Oak St,Austin,TX,73301,2500,1496,1004
2700656,Richard,Gonzalez,7357 Main St,San Antonio,TX,78201,9000,553,8447
2700660,Christopher,Thomas,4853 Pine Ave,Fort Worth,TX,76101,9000,8946,54
2700662,Barbara,Williams,4283 Ridgeway Dr,Houston,TX,77001,2500,235,2265
2700668,Mary,Perez,7417 3rd St,Austin,TX,73301,9000,7340,1660
2700678,Joseph,Gonzalez,836 Main St,San Antonio,TX,78201,6000,5614,386
2700683,Michael,Davis,3074 Court St,Fort Worth,TX,76101,12000,1655,10345
2700685,Jennifer,Martinez,7215 Ridgeway Dr,El Paso,TX,79901,4500,3038,1462
2700690,John,Brown,9575 3rd St,El Paso,TX,79901,2500,2229,271
2700693,Sandra,Hernandez,6833 4th St,El Paso,TX,79901,2000,168,1832
2700696,James,Moore,2648 Court St,San Antonio,TX,78201,1800,581,1219
2700697,James,Jones,488 Hillcrest Rd,Houston,TX,77001,9000,3936,5064
2700707,Margaret,Davis,3494 Cedar Ln,Dallas,TX,75201,9000,2433,6567
2700727,Charles,Thompson,6605 Pine Ave,Fort Worth,TX,76101,9000,183,8817
2700729,James,Harris,395 Maple Ave,Houston,TX,77001,2000,1315,685
2700734,James,Rodriguez,3125 Walnut St,Dallas,TX,75201,3000,2359,641
2700743,Daniel,Thompson,244 Walnut St,Houston,TX,77001,1500,526,974
2700745,Lisa,Martinez,3662 Hillcrest Rd,El Paso,TX,79901,9000,7828,1172
2700746,Michael,Lewis,545 Sunset Blvd,Fort Worth,TX,76101,9000,6905,2095
2700752,Patricia,Thompson,9462 4th St,Dallas,TX,75201,4500,305,4195
2700758,Charles,Wilson,5453 Washington St,Austin,TX,73301,1000,254,746
2700760,Barbara,Martin,5468 Main St,Dallas,TX,75201,2000,1985,15
2700780,Barbara,Lee,5381 Forest Ave,El Paso,TX,79901,1500,473,1027
2700787,Thomas,Hernandez,3757 Ridgeway Dr,Dallas,TX,75201,3000,1918,1082
2700791,Jennifer,Thomas,7181 Birch St,El Paso,TX,79901,6000,2538,3462
2700793,Sandra,Lopez,6240 Ridgeway Dr,Dallas,TX,75201,2500,1546,954
2700797,Charles,Gonzalez,4642 Elm St,Houston,TX,77001,9000,2329,6671
2700806,John,Robinson,5441 2nd St,Fort Worth,TX,76101,2000,1818,182
2700809,Sarah,Thompson,902 Pine Ave,Dallas,TX,75201,2000,814,1186
2700829,Mark,Martinez,9278 2nd St,El Paso,TX,79901,12000,2343,9657
2700834,Patricia,Anderson,7105 Cedar Ln,Dallas,TX,75201,6000,1928,4072
2700840,Sandra,Martin,5036 Court St,Dallas,TX,75201,3000,757,2243
2700842,John,Jackson,7496 Sunset Blvd,El Paso,TX,79901,3000,1418,1582
2700853,Joseph,Sanchez,6061 Court St,Austin,TX,73301,12000,887,11113
2700854,Thomas,Moore,2534 Washington St,San Antonio,TX,78201,1000,503,497
2700864,Lisa,Garcia,2534 Forest Ave,El Paso,TX,79901,3000,115,2885
2700867,Matthew,Davis,9785 Maple Ave,Houston,TX,77001,2500,1531,969
2700868,James,Lewis,2521 Spruce St,Dallas,TX,75201,2500,2178,322
2700869,John,Anderson,8870 Oak St,Dallas,TX,75201,2500,1760,740
2700878,Patricia,Lopez,4690 Washington St,Austin,TX,73301,1000,969,31
2700885,Margaret,Anderson,9828 4th St,Dallas,TX,75201,4500,3268,1232
2700886,Sarah,Miller,4087 Walnut St,Austin,TX,73301,9000,8620,380
2700891,Patricia,Williams,415 Lakeview Dr,Dallas,TX,75201,1000,556,444
2700894,Michael,Thomas,7831 Forest Ave,Fort Worth,TX,76101,2000,1310,690
2700901,Patricia,Lee,3549 2nd St,Dallas,TX,75201,2000,1398,602
2700902,Elizabeth,White,6123 Cherry Ln,El Paso,TX,79901,3000,1258,1742
2700903,Matthew,Jackson,6044 Pine Ave,El Paso,TX,79901,9000,6129,2871
2700904,Jennifer,Martinez,2867 Cedar Ln,Houston,TX,77001,9000,5487,3513
2700910,Daniel,Robinson,794 Hillcrest Rd,Houston,TX,77001,4500,4118,382
2700915,Matthew,Johnson,8601 Maple Ave,Fort Worth,TX,76101,1500,288,1212
2700918,Karen,Robinson,8015 Oak St,Houston,TX,77001,4500,4492,8
2700923,John,White,7843 Ridgeway Dr,San Antonio,TX,78201,9000,7319,1681
2700927,Joseph,Gonzalez,9105 Cedar Ln,Houston,TX,77001,1000,688,312
2700931,Lisa,Miller,2660 Pine Ave,Dallas,TX,75201,2500,751,1749
2700932,Elizabeth,Davis,6061 Court St,Fort Worth,TX,76101,1800,885,915
2700934,Anthony,Thomas,9840 Birch St,Dallas,TX,75201,6000,3240,2760
2700938,William,Jackson,3412 Court St,San Antonio,TX,78201,2500,2120,380
2700946,Jessica,Martin,1117 Hillcrest Rd,Austin,TX,73301,6000,4883,1117
2700950,Charles,Wilson,3130 Main St,El Paso,TX,79901,2000,1926,74
2700952,Daniel,Hernandez,5511 Spruce St,Fort Worth,TX,76101,12000,10102,1898
2700962,Daniel,Harris,1233 Oak St,El Paso,TX,79901,6000,1939,4061
2700965,Jessica,Anderson,9842 Forest Ave,Fort Worth,TX,76101,1000,987,13
2700971,Thomas,Martinez,1750 Pine Ave,Austin,TX,73301,3000,860,2140
2700973,David,Gonzalez,781 4th St,Austin,TX,73301,1500,998,502
2700977,Linda,Moore,7443 Cherry Ln,Fort Worth,TX,76101,2500,650,1850
2700987,Michael,Robinson,5429 Lakeview Dr,El Paso,TX,79901,3000,2538,462
2700989,Joseph,Lopez,355 Sunset Blvd,Houston,TX,77001,1500,1409,91
2700993,Linda,White,9283 Sunset Blvd,El Paso,TX,79901,6000,5357,643
2700994,Barbara,Jackson,1016 Washington St,El Paso,TX,79901,3000,2273,727
2700995,Susan,Smith,8472 Cedar Ln,Fort Worth,TX,76101,1000,49,951
2701003,Joseph,Garcia,1810 2nd St,Houston,TX,77001,4500,1048,3452
2701009,William,Perez,2738 Cedar Ln,San Antonio,TX,78201,2000,1451,549
2701022,Linda,Anderson,3087 3rd St,Fort Worth,TX,76101,2000,1444,556
2701027,John,Harris,555 Pine Ave,Fort Worth,TX,76101,9000,38,8962
2701035,Lisa,Smith,9410 Cedar Ln,Houston,TX,77001,12000,6538,5462
2701038,Richard,Lee,6834 Spruce St,San Antonio,TX,78201,1000,961,39
2701040,Mark,Taylor,7324 Washington St,Austin,TX,73301,12000,9768,2232
2701041,Lisa,Miller,1603 Cedar Ln,Dallas,TX,75201,2500,1328,1172
2701042,Betty,Ramirez,9893 Oak St,Fort Worth,TX,76101,1500,301,1199
2701048,Sandra,Garcia,5469 Elm St,San Antonio,TX,78201,12000,10396,1604
2701050,Thomas,Lee,7143 Oak St,El Paso,TX,79901,2500,355,2145
2701068,Robert,Brown,4913 Cedar Ln,El Paso,TX,79901,9000,3588,5412
2701071,Matthew,Johnson,8794 Walnut St,Austin,TX,73301,9000,2208,6792
2701072,Richard,Martinez,4339 Forest Ave,Houston,TX,77001,2000,1891,109
2701078,Michael,Davis,6447 Oak St,Houston,TX,77001,1500,812,688
2701085,Margaret,Thomas,9677 Main St,Austin,TX,73301,2500,2093,407
2701087,Anthony,Ramirez,177 Hillcrest Rd,San Antonio,TX,78201,1800,728,1072
2701091,Sandra,Thompson,2482 Birch St,Austin,TX,73301,6000,4554,1446
2701095,Sandra,Garcia,865 Hillcrest Rd,Houston,TX,77001,2500,250,2250
2701098,Jennifer,Taylor,7740 2nd St,El Paso,TX,79901,2000,1436,564
2701108,Barbara,Ramirez,9461 Hillcrest Rd,Dallas,TX,75201,12000,4852,7148
2701111,Joseph,Harris,9540 Lakeview Dr,El Paso,TX,79901,9000,5096,3904
2701113,Betty,Smith,8367 Spruce St,El Paso,TX,79901,1500,47,1453
2701116,Matthew,Miller,2465 Forest Ave,Austin,TX,73301,1800,713,1087
2701117,Charles,Ramirez,1142 4th St,Austin,TX,73301,2500,913,1587
2701120,Sarah,Thomas,3294 Main St,El Paso,TX,79901,9000,5294,3706
2701126,David,Martinez,3870 Birch St,Austin,TX,73301,12000,201,11799
2701128,Margaret,Wilson,9426 Cherry Ln,El Paso,TX,79901,9000,4051,4949
2701135,Jessica,Lee,5041 Main St,El Paso,TX,79901,9000,6834,2166
2701139,Robert,Hernandez,1514 2nd St,San Antonio,TX,78201,2000,578,1422
2701140,Nancy,Garcia,8107 Court St,Houston,TX,77001,1000,708,292
2701142,James,Hernandez,3497 2nd St,El Paso,TX,79901,6000,4889,1111
2701152,Richard,Clark,1716 Cherry Ln,Houston,TX,77001,9000,1889,7111
2701153,Richard,Lewis,6439 Maple Ave,San Antonio,TX,78201,1500,1009,491
2701154,Margaret,Rodriguez,5063 Pine Ave,Houston,TX,77001,1500,862,638
2701156,Mary,Brown,324 Sunset Blvd,Houston,TX,77001,6000,3078,2922
2701159,James,Clark,5736 Spruce St,Houston,TX,77001,1800,709,1091
2701161,Barbara,Anderson,1730 Spruce St,El Paso,TX,79901,6000,4792,1208
2701162,Margaret,Sanchez,3494 3rd St,Houston,TX,77001,3000,2883,117
2701170,Mary,Williams,7808 4th St,Austin,TX,73301,6000,3457,2543
2701174,Richard,Clark,9551 4th St,San Antonio,TX,78201,3000,670,2330
2701182,Thomas,Wilson,8088 Cherry Ln,Dallas,TX,75201,1800,1751,49
2701184,Anthony,Martin,1466 Main St,Houston,TX,77001,2000,483,1517
2701185,John,Lewis,1943 3rd St,Austin,TX,73301,3000,215,2785
2701186,Margaret,Rodriguez,9777 Sunset Blvd,El Paso,TX,79901,2500,1641,859
2701187,Jennifer,Gonzalez,5442 Oak St,Dallas,TX,75201,1000,570,430
2701203,Daniel,Williams,7931 Ridgeway Dr,Fort Worth,TX,76101,6000,1640,4360
2701204,Nancy,Hernandez,5278 Ridgeway Dr,El Paso,TX,79901,6000,4186,1814
2701205,Joseph,Thompson,8907 Court St,San Antonio,TX,78201,9000,2681,6319
2701212,John,Lopez,3845 Sunset Blvd,El Paso,TX,79901,12000,9304,2696
2701213,Lisa,Sanchez,436 Cherry Ln,San Antonio,TX,78201,6000,4422,1578
2701214,Christopher,White,2232 Birch St,El Paso,TX,79901,12000,6078,5922
2701217,Margaret,Lee,145 Ridgeway Dr,San Antonio,TX,78201,9000,875,8125
2701218,Margaret,Perez,7408 4th St,San Antonio,TX,78201,6000,1097,4903
2701219,Christopher,Wilson,7385 Oak St,Austin,TX,73301,2000,1363,637
2701224,William,Thomas,361 Maple Ave,San Antonio,TX,78201,1500,664,836
2701227,Sarah,Smith,9182 Cedar Ln,Dallas,TX,75201,6000,410,5590
2701228,Christopher,Robinson,1747 4th St,Dallas,TX,75201,2500,1244,1256
2701235,Charles,Gonzalez,2396 Washington St,Austin,TX,73301,1000,703,297
2701238,Margaret,Williams,496 Spruce St,San Antonio,TX,78201,9000,1505,7495
2701240,Mary,Lewis,5636 Maple Ave,San Antonio,TX,78201,6000,2000,4000
2701250,John,Perez,445 Walnut St,Fort Worth,TX,76101,1500,543,957
2701251,Linda,Moore,1332 Court St,Dallas,TX,75201,2000,947,1053
2701252,William,Clark,5102 Walnut St,San Antonio,TX,78201,2500,495,2005
2701253,Thomas,Taylor,1222 Court St,El Paso,TX,79901,4500,80,4420
2701259,Daniel,Wilson,3693 Spruce St,Fort Worth,TX,76101,2500,304,2196
2701260,Elizabeth,Martinez,3214 4th St,Fort Worth,TX,76101,2000,900,1100
2701261,James,Davis,3604 Cherry Ln,Dallas,TX,75201,12000,4780,7220
2701263,James,Harris,2007 Spruce St,El Paso,TX,79901,12000,6631,5369
2701271,Susan,Williams,9303 Birch St,San Antonio,TX,78201,6000,4321,1679
2701275,Daniel,Taylor,3543 Ridgeway Dr,San Antonio,TX,78201,9000,2832,6168
2701278,Jennifer,White,2429 Main St,Austin,TX,73301,2000,1936,64
2701287,David,Perez,2178 Pine Ave,Houston,TX,77001,1000,407,593
2701288,Sarah,Jackson,4881 Elm St,Austin,TX,73301,2500,1751,749
2701290,Sandra,Jackson,1473 Court St,San Antonio,TX,78201,1000,993,7
2701293,Christopher,Clark,5907 Walnut St,Dallas,TX,75201,1000,728,272
2701302,David,Thompson,2192 Washington St,Fort Worth,TX,76101,1000,106,894
2701304,Matthew,Ramirez,7582 Lakeview Dr,San Antonio,TX,78201,1000,323,677
2701313,Richard,Lewis,378 Main St,Dallas,TX,75201,1000,782,218
2701314,Mark,Miller,4967 Court St,Fort Worth,TX,76101,9000,4270,4730
2701319,Margaret,Davis,3325 Court St,Austin,TX,73301,1800,1085,715
2701327,David,Brown,2953 Cherry Ln,Houston,TX,77001,1500,214,1286
2701351,Mary,Williams,5123 Forest Ave,Fort Worth,TX,76101,2000,382,1618
2701356,William,Wilson,5387 Forest Ave,Houston,TX,77001,6000,353,5647
2701357,James,Martin,1287 Court St,Austin,TX,73301,6000,5629,371
2701360,Mary,Williams,2216 Maple Ave,Austin,TX,73301,9000,7298,1702
2701373,Sandra,Lee,8963 Court St,Dallas,TX,75201,12000,6361,5639
2701375,Margaret,Taylor,8553 Oak St,Houston,TX,77001,6000,5469,531
2701377,Nancy,Wilson,273 Washington St,Austin,TX,73301,1800,1265,535
2701378,John,Harris,8434 Ridgeway Dr,Houston,TX,77001,6000,4957,1043
2701380,Robert,Thomas,6803 Main St,Dallas,TX,75201,1800,1662,138
2701383,Christopher,Jackson,7946 Pine Ave,El Paso,TX,79901,3000,610,2390
2701396,Anthony,Davis,5138 Spruce St,Austin,TX,73301,2000,431,1569
2701397,Elizabeth,Thompson,795 Walnut St,Houston,TX,77001,2000,417,1583
2701401,Robert,Robinson,2923 4th St,Austin,TX,73301,1500,112,1388
2701406,Sarah,Hernandez,5531 Court St,El Paso,TX,79901,2000,1495,505
2701424,Jessica,Jones,2383 4th St,El Paso,TX,79901,2000,1747,253
2701434,Joseph,Jones,423 Cedar Ln,Austin,TX,73301,1500,886,614
2701446,Sarah,Martinez,7987 Ridgeway Dr,Houston,TX,77001,9000,7792,1208
2701451,John,Anderson,6997 Main St,Houston,TX,77001,1500,1074,426
2701452,Michael,Williams,9428 Lakeview Dr,Houston,TX,77001,2000,159,1841
2701454,Matthew,Lopez,5677 Pine Ave,San Antonio,TX,78201,1000,921,79
2701456,Lisa,Perez,2315 Oak St,San Antonio,TX,78201,1800,977,823
2701458,Linda,Garcia,3840 Oak St,Austin,TX,73301,1000,21,979
2701465,Robert,Jones,6172 Main St,Dallas,TX,75201,1500,455,1045
2701471,Matthew,Ramirez,7124 Spruce St,El Paso,TX,79901,3000,2149,851
2701474,Barbara,Wilson,3073 Cedar Ln,Houston,TX,77001,2500,1305,1195
2701479,Betty,Harris,399 3rd St,Houston,TX,77001,1500,1421,79
2701487,Richard,Martin,1888 Birch St,El Paso,TX,79901,1500,736,764
2701490,Charles,Anderson,1681 Washington St,El Paso,TX,79901,2000,1968,32
2701492,David,Brown,5557 Spruce St,San Antonio,TX,78201,4500,3000,1500
2701494,Betty,Wilson,4290 Cherry Ln,Houston,TX,77001,1000,962,38
2701497,Jennifer,Lewis,4756 Main St,El Paso,TX,79901,1000,900,100
2701501,Christopher,Rodriguez,3690 Spruce St,Dallas,TX,75201,2500,1962,538
2701504,Charles,Robinson,4219 Pine Ave,San Antonio,TX,78201,3000,1567,1433
2701515,Karen,Lee,5685 Maple Ave,Houston,TX,77001,1800,1704,96
